ICAO24,Latitude,Longitude,Track,Altitude,Vitesse,Squawk,Radar_Feeder,Type_avion,Registration,Temps_UNIX,Depart,Arrivee,Num_IATA,On_ground,Vertical_Speed,Num_ICAO,Code_ICAO
394A06,64.8023,-29.1056,300,33000,477,3214,F-BGKK1,B77W,F-GSQG,1645968413,CDG,SFO,AF86,0,0,AFR086,AFR
3949ED,48.4691,0.1782,242,30200,479,0657,F-LFLA3,B772,F-GSPN,1645968416,CDG,SJO,AF430,0,832,AFR430,AFR
39CF02,42.3488,29.689,108,37000,519,0675,T-LBWN24,A359,F-HTYC,1645968406,CDG,BOM,AF218,0,0,AFR218,AFR
394A08,62.3834,-21.5001,296,32000,476,2755,F-BIKF1,B77W,F-GSQI,1645968415,CDG,MEX,AF178,0,0,AFR178,AFR
392AEE,48.7453,1.6316,26,9750,296,4330,F-LFPT2,A320,F-GKXO,1645968415,RAK,CDG,AF1077,0,-1024,AFR31MU,AFR
3965AE,40.0182,-20.3143,247,35000,443,0000,F-SAT2,B77W,F-GZNO,1645968413,ORY,FDF,AF842,0,0,AFR842,AFR
39E685,48.9303,2.7164,265,13000,285,1000,F-LFPT2,BCS3,F-HZUF,1645968415,FCO,CDG,AF1105,0,-64,AFR86SA,AFR
3965A1,55.0655,-21.0699,270,33000,479,0000,F-SAT2,B77W,F-GZNB,1645968413,CDG,JFK,AF14,0,0,AFR014,AFR
3991E9,37.364,-7.722,185,37050,483,7604,F-LPPT2,A320,F-HEPJ,1645968413,CDG,RAK,AF1276,0,0,AFR75GJ,AFR
3986E0,48.9891,2.4945,85,950,135,1000,F-LFPG1,E170,F-HBXA,1645968414,ZAG,CDG,AF1561,0,-896,AFR38MP,AFR
3944E5,50.3894,6.0833,215,37975,459,0735,F-EDDG1,A319,F-GRHF,1645968414,ARN,CDG,AF1263,0,0,AFR15KP,AFR
392AF3,49.4446,3.5856,245,15875,419,3510,F-LFPG1,A320,F-GKXT,1645968414,BGO,CDG,AF1253,0,-1152,AFR32AC,AFR
3946EA,57.6276,14.0077,52,37000,444,1225,F-ESMQ5,A319,F-GRXK,1645968416,CDG,HEL,AF1070,0,0,AFR66ZY,AFR
398565,48.8007,3.1185,302,15000,388,1000,F-LFPB2,E190,F-HBLF,1645968415,NAP,CDG,AF1179,0,128,AFR51FN,AFR
3991EA,48.8704,1.8117,46,8350,292,4331,F-LFPC1,A320,F-HEPK,1645968415,MAD,CDG,AF1301,0,-704,AFR43RR,AFR
392AF9,48.9941,2.5884,87,0,46,0243,F-LFPG1,A320,F-GKXZ,1645968401,VCE,CDG,AF1427,1,0,AFR53VE,AFR
394C03,48.9825,2.379,89,2500,88,0552,F-LFPC1,A321,F-GTAD,1645968415,EDI,CDG,AF1687,0,-896,AFR26LF,AFR
3986EB,55.7386,9.0925,87,100,125,5617,F-EKVJ1,E170,F-HBXL,1645968414,CDG,BLL,AF1264,0,-576,AFR56ZZ,AFR
3946E3,42.127,11.4105,141,23975,432,1000,F-LIRF3,A319,F-GRXD,1645968415,CDG,FCO,AF1504,0,-1984,AFR28PP,AFR
3991E5,43.4051,-1.2388,210,37000,444,7614,F-LEZG3,A320,F-HEPF,1645968415,CDG,CMN,AF1596,0,-64,AFR48GU,AFR
398562,55.5589,11.9593,59,7000,272,5627,T-MLAT1,E190,F-HBLC,1645968412,CDG,CPH,AF1850,0,-1536,AFR81SW,AFR
39CF07,43.7329,-4.9583,211,35000,528,7616,F-LECO2,A359,F-HTYH,1645968414,CDG,ROB,AF879,0,0,AFR879,AFR
398564,50.204,9.2042,263,36000,453,1000,F-ETID1,E190,F-HBLE,1645968414,WAW,CDG,AF1147,0,0,AFR53WP,AFR
3991E7,41.4003,2.3818,245,4225,217,7620,F-LEBL4,A320,F-HEPH,1645968414,CDG,BCN,AF1648,0,-704,AFR92TL,AFR
394C18,48.9607,2.0007,77,4650,259,1062,F-LFPC1,A321,F-GTAY,1645968415,BCN,CDG,AF1349,0,0,AFR51TK,AFR
3946EC,48.6288,11.0794,124,10100,261,1000,F-EDMO3,A319,F-GRXM,1645968416,CDG,MUC,AF1622,0,-256,AFR28DB,AFR
3986E8,49.0,2.5965,357,0,10,1000,F-LFPB2,E170,F-HBXI,1645968406,BIQ,CDG,AF4143,1,0,AFR4143,AFR
39856D,44.0408,5.6216,131,27225,477,1000,F-LFML1,E190,F-HBLN,1645968413,LIL,NCE,AF1357,0,-2560,AFR93QQ,AFR
39E683,43.2853,-1.3268,206,37000,444,7633,F-LEZG3,BCS3,F-HZUD,1645968415,CDG,MAD,AF1600,0,0,AFR23UF,AFR
394C19,43.6131,4.9676,144,4050,255,1000,F-LFMV4,A321,F-GTAZ,1645968415,CDG,MRS,AF7664,0,-896,AFR29XG,AFR
394A00,49.9047,-6.0809,284,32000,445,5641,F-EGHE1,B77W,F-GSQA,1645968414,CDG,MIA,AF90,0,0,AFR090,AFR
3965B3,46.5984,9.8315,128,31000,453,0654,F-LIPU1,B77W,F-GZNT,1645968416,CDG,BKK,AF166,0,0,AFR166,AFR
394C13,41.9016,-2.8016,19,36000,445,4663,F-LECU4,A321,F-GTAT,1645968412,AGP,CDG,AF9421,0,64,AFR92FE,AFR
3949F3,44.5841,2.7264,174,35000,476,5640,F-LFMK2,B772,F-GSPT,1645968414,CDG,DLA,AF985,0,-64,AFR985,AFR
3950CF,48.144,3.0753,304,11575,377,1000,F-LFLA3,A318,F-GUGP,1645968416,MRS,ORY,AF6015,0,-1920,AFR93YC,AFR
3944E8,44.5143,5.6982,123,36975,453,1000,F-LFNC1,A319,F-GRHI,1645968416,ORY,CLY,AF7570,0,-64,AFR81FM,AFR
394C0A,46.0311,5.6773,188,7100,231,1000,F-LFHS1,A321,F-GTAK,1645968414,CDG,GVA,AF1442,0,-1216,AFR61ED,AFR
39856C,48.0829,-1.8186,101,850,124,1000,T-LFOZ4,E190,F-HBLM,1645968415,CDG,RNS,AF7676,0,-704,AFR25MC,AFR
39E681,45.8647,-2.7335,220,37000,466,7642,F-LFBP1,BCS3,F-HZUB,1645968413,CDG,LIS,AF1624,0,0,AFR94RP,AFR
